hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
16.50000,37.53120,24.32810,-0.75890,-0.37230,0.54820,-0.03690,-71.71600,-13.74470,0.88360,-0.19990,0.42110,-0.04420
17.31250,38.32810,26.26560,-0.76120,-0.36950,0.55510,8.32490,-69.30510,-13.95830,0.88610,-0.19950,0.41610,-0.04400
17.96880,38.95310,27.57810,-0.76420,-0.37980,0.57960,16.19850,-69.61030,-15.91140,0.88860,-0.19860,0.41100,-0.04420
18.48440,39.42190,28.60940,-0.72600,-0.39660,0.59750,27.27630,-63.78140,-17.83400,0.89160,-0.19710,0.40500,-0.04550
18.85940,39.70310,29.40620,-0.67210,-0.37300,0.59040,38.44580,-48.85830,-16.03350,0.89430,-0.19470,0.40010,-0.04730
19.04690,39.93750,29.96880,-0.61750,-0.32520,0.56890,39.05610,-33.87420,-10.26570,0.89640,-0.19150,0.39670,-0.04880
19.17190,40.07810,30.26560,-0.56260,-0.31240,0.57360,26.33030,-26.64150,-5.04720,0.89810,-0.18950,0.39380,-0.04970
19.26560,40.12500,30.43750,-0.55040,-0.32800,0.60510,12.29220,-19.34780,-3.03300,0.89930,-0.18860,0.39140,-0.05010
19.23440,40.15620,30.43750,-0.56540,-0.35100,0.61500,2.00780,-5.67590,-1.50710,0.89980,-0.18850,0.39020,-0.05040
19.17190,40.09380,30.34380,-0.57180,-0.38050,0.62090,-8.61230,7.29400,0.14080,0.89970,-0.18940,0.39010,-0.05050
19.06250,39.92190,30.07810,-0.58040,-0.39180,0.63540,-16.24170,19.22640,-1.56820,0.89900,-0.19090,0.39090,-0.05060
18.89060,39.64060,29.59380,-0.61250,-0.38300,0.64150,-16.51640,33.05090,-5.23030,0.89780,-0.19230,0.39280,-0.05130
18.64060,39.14060,28.95310,-0.64240,-0.37930,0.63670,-14.25810,44.58650,-6.35940,0.89640,-0.19340,0.39550,-0.05220
18.29690,38.57810,27.85940,-0.64790,-0.39590,0.59590,-14.28860,53.16190,-3.79590,0.89430,-0.19510,0.39910,-0.05330
17.78120,37.65620,26.43750,-0.63020,-0.42290,0.53700,-15.50930,60.33360,1.94140,0.89180,-0.19680,0.40390,-0.05400
