hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
5.79690,24.90620,11.67190,0.07200,-1.61600,0.48120,-157.84331,-72.84510,383.59421,0.81170,-0.54860,0.16050,-0.12030
4.65620,23.28120,10.26560,0.02940,-1.43510,0.48440,-154.60840,-73.91320,394.88571,0.80870,-0.55480,0.17500,-0.08710
3.21880,21.14060,8.64060,-0.09490,-1.19330,0.47660,-172.52220,-75.59170,394.94669,0.80410,-0.56100,0.18920,-0.05340
1.53120,18.76560,6.62500,-0.24460,-1.01560,0.44160,-216.52859,-77.08710,386.95111,0.79640,-0.56920,0.20330,-0.01900
0.10940,16.60940,4.64060,-0.31990,-0.96630,0.37470,-275.24438,-75.92740,374.07269,0.78450,-0.58090,0.21670,0.01570
-1.07810,14.57810,2.81250,-0.29080,-0.99870,0.29020,-323.76740,-77.75850,359.30219,0.76860,-0.59560,0.22820,0.04980
-2.07810,12.51560,1.01560,-0.19990,-1.01720,0.22040,-341.62009,-90.30120,344.83691,0.75060,-0.61090,0.23770,0.08370
-2.96880,10.25000,-0.79690,-0.11710,-0.98980,0.17400,-331.61041,-109.64930,332.08051,0.73230,-0.62450,0.24490,0.11750
-3.92190,7.53120,-2.68750,-0.10280,-0.91990,0.14240,-310.09549,-126.18990,322.62009,0.71440,-0.63580,0.25030,0.15090
-5.07810,4.09380,-4.98440,-0.16950,-0.81470,0.11900,-289.55719,-134.52119,316.66910,0.69680,-0.64480,0.25480,0.18370
-6.29690,0.32810,-7.59380,-0.26920,-0.74340,0.10490,-275.64111,-134.27699,312.79340,0.67910,-0.65200,0.25900,0.21570
-7.18750,-3.29690,-10.23440,-0.32960,-0.74240,0.09770,-266.02811,-128.69231,309.89420,0.66100,-0.65790,0.26320,0.24680
-7.76560,-6.60940,-12.65620,-0.32810,-0.73880,0.09650,-251.71539,-124.23670,307.20871,0.64280,-0.66230,0.26750,0.27680
-8.31250,-9.60940,-14.79690,-0.29940,-0.68700,0.10710,-227.33180,-126.95280,303.91281,0.62530,-0.66450,0.27170,0.30590
-8.75000,-12.04690,-16.56250,-0.29180,-0.59960,0.12190,-196.72270,-135.55881,301.07458,0.60920,-0.66400,0.27580,0.33440
-8.95310,-14.00000,-17.90620,-0.31100,-0.50840,0.12090,-166.20509,-144.01210,299.76239,0.59450,-0.66100,0.27990,0.36230
-9.15620,-15.60940,-18.90620,-0.32240,-0.43620,0.09640,-138.95290,-148.43719,297.44312,0.58100,-0.65580,0.28430,0.38920
-9.57810,-17.00000,-19.70310,-0.32760,-0.36820,0.07900,-117.83470,-147.18600,290.75970,0.56830,-0.64920,0.28880,0.41490
-9.59380,-17.81250,-20.28120,-0.35460,-0.28340,0.08890,-107.00100,-141.63181,280.10910,0.55590,-0.64180,0.29320,0.43940
-9.68750,-18.46880,-20.56250,-0.39560,-0.21460,0.11520,-108.13020,-135.68080,268.51239,0.54320,-0.63430,0.29720,0.46290
-9.67190,-18.84380,-20.65620,-0.41440,-0.21160,0.14570,-116.30890,-130.82851,257.64810,0.52990,-0.62720,0.30020,0.48540
-9.64060,-19.09380,-20.71880,-0.40040,-0.24690,0.17200,-121.31380,-125.64050,247.60789,0.51640,-0.62050,0.30230,0.50690
-9.70310,-19.26560,-20.71880,-0.38420,-0.23810,0.18730,-116.52250,-118.10270,237.10980,0.50300,-0.61380,0.30420,0.52700
-9.73440,-19.32810,-20.60940,-0.39610,-0.15200,0.19020,-104.65120,-106.93330,224.26190,0.49010,-0.60700,0.30630,0.54550
-9.75000,-19.31250,-20.46880,-0.43690,-0.03960,0.18650,-93.39020,-94.08540,208.85049,0.47770,-0.60020,0.30880,0.56220
-9.89060,-19.29690,-20.28120,-0.47140,0.04610,0.18320,-88.78200,-83.22110,191.33350,0.46580,-0.59410,0.31110,0.57730
-10.01560,-19.06250,-20.07810,-0.46870,0.09780,0.18220,-91.95580,-76.04950,171.31390,0.45420,-0.58870,0.31250,0.59120
-9.96880,-18.54690,-19.76560,-0.44730,0.12320,0.18490,-100.25660,-71.28870,149.43280,0.44310,-0.58430,0.31240,0.60390
-9.98440,-18.26560,-19.32810,-0.43640,0.11060,0.18850,-109.32030,-66.77210,128.34520,0.43240,-0.58090,0.31080,0.61570
-10.10940,-17.92190,-19.20310,-0.42810,0.05730,0.18270,-113.07400,-62.95740,110.40080,0.42230,-0.57820,0.30800,0.62650
-10.06250,-17.35940,-18.85940,-0.40660,0.00170,0.16460,-106.23810,-60.97380,96.21020,0.41340,-0.57560,0.30470,0.63640
-9.79690,-16.48440,-18.34380,-0.37350,-0.02510,0.13410,-89.63650,-59.29530,85.52900,0.40590,-0.57270,0.30170,0.64520
-9.57810,-15.59380,-17.73440,-0.35340,-0.02110,0.10110,-69.52540,-56.30460,77.04510,0.39970,-0.56950,0.29940,0.65290
-9.39060,-14.78120,-17.14060,-0.37430,0.00280,0.09150,-53.25960,-52.55090,68.65280,0.39430,-0.56590,0.29820,0.65980
-9.59380,-14.18750,-16.76560,-0.41990,0.02890,0.10690,-47.36970,-49.74330,58.18530,0.38970,-0.56260,0.29690,0.66600
-9.29690,-13.21880,-16.21880,-0.44960,0.03530,0.12390,-53.74780,-48.27850,45.00170,0.38540,-0.55980,0.29470,0.67170
-9.01560,-12.39060,-15.60940,-0.45160,0.00140,0.12940,-67.38920,-46.99670,31.08560,0.38150,-0.55790,0.29070,0.67730
-8.89060,-11.75000,-15.09380,-0.43990,-0.07050,0.12740,-78.95540,-45.92860,19.67210,0.37820,-0.55730,0.28470,0.68210
-8.82810,-11.26560,-14.68750,-0.43700,-0.14480,0.13680,-80.38970,-45.65400,13.14130,0.37520,-0.55700,0.27830,0.68660
-8.95310,-10.96880,-14.45310,-0.44580,-0.18160,0.16560,-69.83060,-46.93570,11.55440,0.37280,-0.55630,0.27250,0.69090
-8.90620,-10.43750,-14.14060,-0.43860,-0.17020,0.19640,-49.71950,-49.37710,13.08030,0.37130,-0.55460,0.26780,0.69490
-8.75000,-9.84380,-13.67190,-0.41030,-0.12230,0.21670,-23.41340,-50.62830,15.58270,0.37080,-0.55170,0.26490,0.69850
-8.65620,-9.34380,-13.29690,-0.35770,-0.04380,0.24460,4.17450,-48.67520,16.74240,0.37140,-0.54770,0.26410,0.70160
-8.68750,-9.04690,-12.98440,-0.29720,0.07450,0.32040,26.42180,-40.13030,13.99580,0.37280,-0.54360,0.26500,0.70380
-8.54690,-8.65620,-12.81250,-0.33040,0.19450,0.41270,35.82130,-20.53800,3.77240,0.37470,-0.54050,0.26680,0.70450
-8.29690,-8.10940,-12.53120,-0.47990,0.21900,0.43070,29.68720,3.26570,-13.50050,0.37670,-0.53950,0.26820,0.70360
-8.17190,-7.57810,-12.21880,-0.60440,0.13150,0.35920,13.94020,14.52670,-29.21710,0.37880,-0.54000,0.26830,0.70210
-7.96880,-6.98440,-11.85940,-0.59740,0.02320,0.26270,0.14620,10.49840,-36.32770,0.38080,-0.54090,0.26700,0.70080
-7.75000,-6.45310,-11.53120,-0.49560,-0.01660,0.19180,-4.55350,1.80090,-36.72440,0.38290,-0.54150,0.26480,0.70000
-7.53120,-5.96880,-11.25000,-0.41210,0.02350,0.16290,-3.51590,-3.02090,-36.72440,0.38500,-0.54170,0.26290,0.69950
-7.40620,-5.67190,-10.95310,-0.41370,0.08510,0.16680,-4.24830,1.00740,-39.53200,0.38680,-0.54220,0.26130,0.69860
-7.54690,-5.59380,-10.84380,-0.46140,0.11960,0.15810,-9.98560,13.73320,-44.23170,0.38830,-0.54400,0.25970,0.69710
-7.64060,-5.46880,-10.87500,-0.51010,0.11650,0.11920,-18.22540,29.38880,-49.63330,0.38920,-0.54730,0.25800,0.69460
-7.71880,-5.31250,-10.82810,-0.56050,0.08680,0.07540,-23.93220,41.53480,-55.40120,0.38990,-0.55190,0.25600,0.69120
-7.79690,-5.14060,-10.75000,-0.60740,0.04460,0.04260,-24.17630,46.63120,-61.50470,0.39100,-0.55720,0.25380,0.68720
