hall_1,hall_2,hall_3,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_1,quat_2,quat_3,quat_4
22.00000,42.18750,30.06250,-0.60320,0.31680,0.18110,-45.72170,135.37630,41.30900,0.71290,0.12670,0.68240,0.10000
21.59380,41.70310,29.60940,-0.64140,0.31030,0.22890,-59.36310,173.37070,41.88890,0.70320,0.12410,0.69170,0.10830
20.92190,40.96880,28.82810,-0.77370,0.32120,0.16890,-68.15210,223.57210,46.92430,0.69020,0.12070,0.70360,0.11790
19.95310,39.96880,27.78120,-0.96370,0.37950,0.06760,-74.53030,256.98889,52.78360,0.67490,0.11690,0.71710,0.12860
18.76560,38.70310,26.31250,-0.97670,0.44170,-0.06400,-82.22070,260.58990,52.26480,0.65850,0.11300,0.73070,0.14020
17.37500,37.12500,24.45310,-0.75390,0.44560,-0.20630,-101.29420,245.69730,43.20110,0.64260,0.10740,0.74320,0.15190
15.78120,35.09380,22.04690,-0.59410,0.38700,-0.37480,-127.81400,217.07190,31.57390,0.62850,0.09970,0.75370,0.16410
14.00000,32.29690,18.81250,-0.46770,0.26550,-0.54690,-136.99980,170.83771,26.26390,0.61740,0.09160,0.76130,0.17590
11.85940,28.09380,14.53120,-0.21970,0.15030,-0.59570,-107.70290,111.93880,28.15600,0.60960,0.08610,0.76590,0.18530
9.57810,22.60940,9.03120,-0.09230,0.11070,-0.47650,-49.32280,62.28670,32.24530,0.60450,0.08480,0.76880,0.19070
7.62500,18.09380,3.92190,-0.26430,0.16070,-0.29020,-0.40310,41.59580,39.87470,0.60040,0.08690,0.77120,0.19310
6.42190,15.35940,0.70310,-0.60540,0.26560,-0.12500,23.67530,40.86340,49.70140,0.59720,0.09060,0.77290,0.19430
5.84380,13.90620,-1.12500,-0.93040,0.39680,0.01260,42.87080,41.32110,56.20160,0.59360,0.09580,0.77490,0.19470
5.56250,13.42190,-1.85940,-1.04480,0.50830,0.03740,56.57320,33.26450,52.69210,0.59050,0.10170,0.77670,0.19410
5.59380,13.84380,-1.71880,-0.92320,0.49980,-0.07720,55.93230,27.55770,35.69380,0.58790,0.10660,0.77840,0.19270
6.06250,15.40620,-0.54690,-0.71870,0.38150,-0.20050,54.25390,30.30430,13.50750,0.58480,0.11040,0.78070,0.19070
7.18750,18.23440,1.68750,-0.59960,0.29950,-0.27430,62.40210,22.03400,-3.67390,0.58220,0.11300,0.78330,0.18630
8.95310,22.10940,5.20310,-0.65810,0.33610,-0.27600,84.89350,-2.16640,-12.09670,0.58110,0.11670,0.78510,0.17980
11.25000,26.64060,9.79690,-0.83570,0.42640,-0.22770,112.57300,-36.34610,-12.79860,0.58290,0.12240,0.78470,0.17160
13.67190,31.17190,14.68750,-0.99970,0.50130,-0.19080,120.72120,-81.69520,-8.19050,0.58780,0.12920,0.78200,0.16230
15.89060,35.15620,19.00000,-1.15190,0.55990,-0.16380,93.49950,-142.05901,-3.18560,0.59690,0.13580,0.77550,0.15440
17.62500,37.81250,22.37500,-1.28260,0.57940,-0.15390,39.72750,-209.59441,-2.36160,0.61110,0.14040,0.76460,0.14920
18.93750,39.37500,24.90620,-1.20120,0.55650,-0.16710,-17.73710,-258.42249,-1.84280,0.62890,0.14270,0.75000,0.14720
19.90620,40.40620,26.68750,-0.91170,0.52270,-0.17410,-48.86500,-272.61319,-1.14090,0.64700,0.14400,0.73410,0.14770
20.50000,41.00000,27.75000,-0.61270,0.37940,-0.04630,-39.40460,-257.53751,-7.21390,0.66400,0.14510,0.71860,0.14720
20.90620,41.40620,28.37500,-0.57030,0.24710,0.14340,-19.04930,-207.45821,-11.30330,0.67780,0.14580,0.70590,0.14520
20.93750,41.32810,28.60940,-0.73350,0.34530,0.23790,-6.29300,-113.86080,-6.29840,0.68540,0.14640,0.69870,0.14390
20.78120,41.18750,28.51560,-0.83350,0.52730,0.30280,0.57350,2.16710,-4.55890,0.68570,0.14630,0.69840,0.14390
20.35940,40.79690,28.28120,-0.88970,0.58650,0.29510,-13.67830,116.36390,-8.92290,0.67920,0.14360,0.70480,0.14600
19.68750,40.15620,27.79690,-1.00830,0.52530,0.11400,-56.21980,207.42830,-13.59210,0.66760,0.13690,0.71600,0.15150
18.75000,39.28120,27.03120,-1.10560,0.43010,-0.09660,-107.42830,230.71320,-20.18390,0.65440,0.12580,0.72840,0.15910
17.60940,38.10940,25.93750,-1.07890,0.34890,-0.17610,-143.25591,172.94341,-28.02690,0.64510,0.11290,0.73690,0.16790
16.28120,36.59380,24.54690,-1.00020,0.30570,-0.20020,-153.72340,89.23370,-30.04110,0.64100,0.10060,0.74020,0.17630
14.75000,34.57810,22.57810,-0.90000,0.27700,-0.27330,-140.26520,35.03450,-20.03130,0.63980,0.09070,0.74070,0.18410
